ID,日期,總移動距離,總時間,總爬升高度,總下降高度
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
dana6823,2020/05/10・1 日・,14 km,11 h 51 m,"1,569 m","1,565 m"
koklim88,2020/05/04・1 日・,7.5 km,5 h 54 m,"1,500 m",128 m
don5427,2019/01/14・1 日・,8.8 km,2 h 39 m,"1,721 m","1,712 m"
shuchen.chiu69,2019/01/14・1 日・,8.8 km,2 h 39 m,"1,721 m","1,712 m"
wallase0722,2018/12/03・1 日・,14.2 km,9 h 22 m,"5,009 m","4,997 m"
wangsophia0730,2025/07/05・1 日・,11.7 km,6 h 15 m,456 m,474 m
r59fk4kfbq,2025/06/29・1 日・,17.9 km,10 h 38 m,"1,902 m","1,908 m"
Ericlou21,2025/06/15・1 日・,17.2 km,13 h 54 m,"1,890 m","1,886 m"
littleo123,2024/12/22・1 日・,12.9 km,8 h 23 m,"1,549 m","1,565 m"
skullofsilver,2023/07/09・1 日・,18.3 km,11 h 5 m,"1,940 m","1,909 m"
winstonbmw,2023/11/17・1 日・,20 km,15 h 4 m,"2,261 m","2,269 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
m6ksjsngpd,2023/11/12・1 日・,21.2 km,13 h 30 m,"2,217 m","2,216 m"
uelom741,2023/09/16・1 日・,17.7 km,13 h 43 m,"2,041 m","2,037 m"
tribal747,2022/04/12・1 日・,11 km,7 h 46 m,"1,465 m","1,449 m"
tonekao1654785306,2022/07/22・1 日・,10 km,8 h 50 m,"1,352 m","1,349 m"
sandy781227,2022/01/16・1 日・,8.6 km,2 h 44 m,407 m,408 m
july8202161605842357,2021/03/30・1 日・,10.8 km,10 h 8 m,"1,474 m","1,462 m"
vit99986,2020/04/26・1 日・,10.8 km,11 h 22 m,"1,592 m","1,573 m"
xiixjmzcpb,2020/07/31・1 日・,10.3 km,9 h 35 m,"1,468 m","1,407 m"
purchasehuang,2020/04/18・1 日・,15.2 km,13 h 19 m,"1,578 m","1,576 m"
lin_chan_yi,2020/10/02・1 日・,27.3 km,18 h 24 m,"2,815 m","2,822 m"
lee_0915,2020/04/26・1 日・,9.8 km,9 h 33 m,"1,022 m","1,593 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
vickychen0421,2022/12/24・1 日・,13.8 km,9 h 56 m,"1,583 m","1,586 m"
janicefeng53,2023/09/13・1 日・,8.9 km,3 h 48 m,434 m,497 m
yihlehhuang166488887,2022/12/19・1 日・,9.7 km,12 h 9 m,"1,543 m","1,472 m"
fodotsau716026,2025/05/31・1 日・,12.5 km,8 h 18 m,"1,520 m","1,428 m"
rogerkuma0109,2025/06/08・1 日・,10 km,8 h 56 m,"1,417 m","1,418 m"
ym5ihfc7fe,2025/06/08・1 日・,16.2 km,14 h 53 m,"2,007 m","1,940 m"
vectraman,2022/10/28・1 日・,17.1 km,13 h 44 m,"1,907 m","2,020 m"
euebx6492,2024/10/10・1 日・,21.6 km,14 h 8 m,"2,308 m","2,342 m"
hogg1112,2024/06/16・1 日・,11.7 km,9 h 17 m,"1,650 m","1,174 m"
a0960013892,2024/07/06・1 日・,11 km,3 h 41 m,66 m,"1,657 m"
y146328,2025/04/04・1 日・,6.5 km,6 h 14 m,"1,204 m",219 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
gfcstg9ccb,2025/03/23・1 日・,16 km,10 h 53 m,"2,136 m","1,883 m"
asdfg79979,2023/08/26・1 日・,19.9 km,14 h 43 m,"2,090 m","2,087 m"
joe_12328,2023/09/17・1 日・,12.9 km,7 h 19 m,"1,375 m","1,537 m"
arctax,2022/04/05・1 日・,9.9 km,7 h 20 m,"1,331 m","1,376 m"
102401051,2025/01/26・1 日・,13.7 km,12 h 55 m,"1,660 m","1,663 m"
lwindg,2021/08/14・1 日・,6.1 km,1 h 31 m,179 m,381 m
happy06260521,2024/12/11・1 日・,9 km,2 h 54 m,487 m,515 m
73x6hnfs93,2022/12/16・1 日・,8.2 km,2 h 51 m,353 m,413 m
xjp6njsp6h,2024/10/20・1 日・,7.4 km,6 h 28 m,"1,531 m",155 m
qy5vfncqtm,2022/08/06・1 日・,9.4 km,6 h 13 m,"1,328 m","1,335 m"
fhes9551201,2024/10/13・1 日・,12.4 km,9 h 19 m,"1,488 m","1,497 m"
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
marsalistw1678807749,2023/06/18・1 日・,16 km,12 h 7 m,"1,860 m","1,835 m"
voila1969,2023/05/09・1 日・,17.1 km,13 h 35 m,"1,875 m","1,895 m"
mason_molly,2024/07/01・1 日・,11.1 km,9 h 2 m,"1,518 m","1,419 m"
melody0120h,2024/07/20・1 日・,26.5 km,12 h 30 m,"2,225 m","2,177 m"
stevenwei326,2022/06/18・1 日・,16.6 km,11 h 6 m,"1,796 m","1,704 m"
fychou420,2023/07/15・1 日・,10.8 km,8 h 20 m,"1,453 m","1,440 m"
ps89517,2024/03/17・1 日・,7.1 km,3 h,387 m,425 m
ywchen1650294578,2024/05/24・1 日・,8.4 km,2 h 13 m,397 m,389 m
tony40904,2024/05/05・1 日・,11.3 km,9 h 34 m,"1,507 m","1,507 m"
rogerkuma0109,2024/01/20・1 日・,9.9 km,9 h 6 m,"1,484 m","1,474 m"
maying,2023/11/17・1 日・,6.6 km,9 h 14 m,"1,473 m",94 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
xydgmd2qgp,2022/06/04・1 日・,16.7 km,14 h 49 m,"1,870 m","1,874 m"
wp7cgff9tm,2023/10/12・1 日・,10.8 km,8 h 33 m,679 m,"2,098 m"
kellytheblessed16752,2023/09/23・1 日・,9.6 km,10 h 45 m,"1,672 m","1,658 m"
raidant1205,2023/09/16・1 日・,12.1 km,9 h 47 m,886 m,939 m
perrydreamsbig1231,2023/06/24・1 日・,16.6 km,13 h 2 m,"1,919 m","1,946 m"
john590331,2023/01/14・1 日・,13.6 km,9 h 56 m,"1,525 m","1,706 m"
otoroz5152,2023/05/27・1 日・,14.5 km,10 h 7 m,"6,554 m","7,092 m"
gjemma12,2022/11/12・1 日・,8.2 km,3 h 4 m,489 m,492 m
gjemma12,2023/04/23・1 日・,11.6 km,9 h 50 m,"1,479 m","1,478 m"
h3192969,2023/04/02・1 日・,17.5 km,16 h 15 m,"2,059 m","2,048 m"
jason90126,2021/09/04・1 日・,9.2 km,8 h 7 m,"1,579 m",875 m
shao_8830,2025/06/25 - 2025/07/01・7 日・,88.5 km,63 h 24 m,"6,679 m","7,908 m"
a29751765,2025/07/05・1 日・,11.7 km,5 h 53 m,824 m,824 m
wenkuochung169856886,2025/07/04・1 日・,5.5 km,3 h 13 m,468 m,451 m
jiaruitwee02,2025/07/05・1 日・,7 km,5 h 19 m,535 m,540 m
holland09177,2021/08/26・1 日・,10.8 km,10 h 41 m,"1,420 m","1,377 m"
490211,2020/06/06・1 日・,10.6 km,9 h 46 m,"1,502 m","1,424 m"
f61248,2022/08/28・1 日・,13.6 km,8 h 52 m,"1,550 m","1,505 m"
tiger141528,2022/10/26・1 日・,18.1 km,11 h 39 m,"1,973 m","1,954 m"
tu9712282008,2022/08/27・1 日・,11.9 km,8 h 39 m,"1,479 m","1,480 m"
huihsia55888,2022/07/18・1 日・,7.7 km,4 h 19 m,480 m,469 m
vivienwang1123,2022/07/14・1 日・,14.6 km,9 h 39 m,"1,482 m","1,478 m"
whisly39,2022/06/25・1 日・,10.9 km,10 h 4 m,"1,473 m","1,427 m"
vickychen0421,2022/06/19・1 日・,15.5 km,10 h 36 m,"1,810 m","1,727 m"
tenergyg,2022/05/01・1 日・,11.2 km,9 h 23 m,"1,452 m","1,473 m"
sky760721,2022/04/24・1 日・,8.6 km,3 h 15 m,402 m,401 m
